,Name,Overall,Wage
4663,K. Sugimoto,71,€6K
4664,A. Wilkinson,71,€6K
4665,Mano,71,€4K
4666,B. Rienstra,71,€7K
4667,Z. Kalmár,71,€0.00
4668,P. Aquino,71,€14K
4669,R. Faty,71,€13K
4670,M. te Wierik,71,€6K
4671,J. Callsen-Bracker,71,€14K
4672,J. Isijara,71,€14K
4673,R. Torres,71,€5K
4674,M. Çelik,71,€12K
4675,B. Sharp,71,€10K
4676,T. Tomiyasu,71,€3K
4677,G. Thorne,71,€23K
4678,O. Rashid,71,€4K
4679,M. Al Owais,71,€17K
4680,S. Palacios,71,€18K
4681,D. Benlamri,71,€20K
4682,O. Haddadi,71,€9K
4683,N. Katić,71,€20K
4684,S. Thern,71,€5K
4685,N. Bitton,71,€28K
4686,A. Søderlund,71,€6K
4687,A. Ateef,71,€20K
4688,E. García,71,€18K
4689,Alexandre Guedes,71,€7K
4690,R. Hilbert,71,€7K
4691,Álvaro Lemos,71,€7K
4692,Flávio,71,€6K
4693,Pombaxinho,71,€8K
4694,R. Sawyers,71,€26K
4695,D. Lekić,71,€8K
4696,N. Champagne,71,€6K
4697,Fábio,71,€15K
4698,Deivid,71,€7K
4699,B. Hämäläinen,71,€13K
4700,S. Dubarbier,71,€7K
4701,L. Cavanda,71,€10K
4702,Patrick,71,€4K
4703,C. Cisneros,71,€20K
4704,J. Brownhill,71,€23K
4705,Heitinho Zanon,71,€8K
4706,J. Bolingi,71,€8K
4707,E. Conde,71,€0.00
4708,T. Hemed,71,€30K
4709,L. Krajnc,71,€9K
4710,P. Terracciano,71,€8K
4711,N. Pasquini,71,€11K
4712,G. Acosta,71,€9K
4713,Fernando Boldrin,71,€10K
4714,Fidel,71,€8K
4715,M. Rodriguez,71,€3K
4716,K. Sema,71,€27K
4717,Y. Candelo,71,€4K
4718,R. García Guerreño,71,€12K
4719,A. Maitland-Niles,71,€38K
4720,Nathael Silbeira,71,€13K
4721,Marco Rocha,71,€3K
4722,S. Colombi,71,€2K
4723,Unai Medina,71,€7K
4724,Jair,71,€4K
4725,J. Lynch,71,€7K
4726,C. Fai,71,€9K
4727,M. Rygaard,71,€10K
4728,M. Djenepo,71,€8K
4729,M. Männel,71,€4K
4730,M. Dawson,71,€27K
4731,Cristian López,71,€17K
4732,A. Esiti,71,€11K
4733,O. Govea,71,€7K
4734,Eduardo Fonseira,71,€11K
4735,R. Beerens,71,€11K
4736,Sebas Coris,71,€17K
4737,B. Róchez,71,€8K
4738,Carlos Martínez,71,€7K
4739,Cao Yunding,71,€11K
4740,Eguaras,71,€7K
4741,O. Pérez,71,€8K
4742,J. Siebenhandl,71,€11K
4743,A. Kolomeytsev,71,€1K
4744,Crivellaro,71,€9K
4745,L. Lollo,71,€10K
4746,S. Maguire,71,€10K
4747,Cafú,71,€5K
4748,Zapater,71,€7K
4749,J. Botaka,70,€7K
4750,J. Böðvarsson,70,€20K
4751,N. Sarenren Bazee,70,€13K
4752,R. Bianco,70,€3K
4753,O. Adın,70,€10K
4754,A. Pešić,70,€22K
4755,G. Hendrickx,70,€7K
4756,J. Hochscheidt,70,€5K
4757,J. Cabezas,70,€5K
4758,Jony Reitosa,70,€11K
4759,P. Šteinbors,70,€3K
4760,K. Çörekçi,70,€15K
4761,J. Murphy,70,€21K
4762,R. Gagliolo,70,€21K
4763,D. Solanke,70,€37K
4764,F. Sacko,70,€5K
4765,J. Sýkora,70,€1K
4766,D. de Buen,70,€11K
4767,F. Veseli,70,€7K
4768,A. González,70,€4K
4769,D. John,70,€12K
4770,D. Ousted,70,€4K
4771,A. Preciado,70,€11K
4772,Filipe Chaby,70,€4K
4773,F. Torijano,70,€3K
4774,J. Valenzuela,70,€11K
4775,Barbosaldinho,70,€9K
4776,Santi Comesaña,70,€8K
4777,Luís Machado,70,€7K
4778,Han Chan Hee,70,€4K
4779,D. Geiger,70,€13K
4780,F. Bradarić,70,€15K
4781,L. Figueroa,70,€2K
4782,K. Stuhr-Ellegaard,70,€2K
4783,F. Zampano,70,€3K
4784,U. Hünemeier,70,€7K
4785,A. Canelo,70,€14K
4786,F. Ogier,70,€4K
4787,Luiz Antônio,70,€16K
4788,J. Maclaren,70,€11K
4789,G. Þórarinsson,70,€4K
4790,B. Leroy,70,€4K
4791,M. Sampirisi,70,€3K
4792,C. Higuita,70,€4K
4793,Wilson Manafá,70,€5K
4794,B. Barišić,70,€23K
4795,João Lucas,70,€3K
4796,V. Kadlec,70,€1K
4797,S. Lundevall,70,€4K
4798,Alberto Benito,70,€6K
4799,H. Mendyl,70,€10K
4800,J. Paintsil,70,€7K
4801,T. Martínez,70,€4K
4802,M. Thorsby,70,€5K
4803,B. Berisha,70,€8K
4804,Ramón Folch,70,€7K
4805,S. Janko,70,€6K
4806,Nano,70,€12K
4807,C. Ganea,70,€11K
4808,Braga,70,€5K
4809,A. Hutton,70,€10K
4810,G. Campi,70,€9K
4811,De las Cuevas,70,€6K
4812,A. Feick,70,€7K
4813,Edson Farias,70,€7K
4814,Lucas Possignolo,70,€5K
4815,G. Makaridze,70,€5K
4816,Kim Bo Kyung,70,€7K
4817,M. Michel,70,€4K
4818,O. Kemen,70,€21K
4819,M. Saito,70,€6K
4820,M. Kelemen,70,€3K
4821,Lourival Dinisco,70,€11K
4822,Jairo Farnias,70,€11K
4823,P. Anton,70,€0.00
4824,S. Popov,70,€8K
4825,Y. Kakitani,70,€6K
4826,E. Rolland,70,€9K
4827,G. Suazo,70,€4K
4828,E. Falkenburg,70,€6K
4829,L. Landre,70,€10K
4830,S. Vergini,70,€10K
4831,Carlos Gutiérrez,70,€6K
4832,J. Bokila,70,€12K
4833,T. Kristensen,70,€3K
4834,G. Bellusci,70,€3K
4835,H. Nielsen,70,€15K
4836,C. Ramirez,70,€5K
4837,D. Cabrera,70,€12K
4838,G. Mackay-Steven,70,€5K
4839,F. Platte,70,€11K
4840,P. Pentke,70,€5K
4841,M. Liendl,70,€8K
4842,F. Seymour,70,€7K
4843,R. Ripart,70,€10K
4844,Gerard Valentín,70,€5K
4845,F. Schultz,70,€7K
4846,L. Trałka,70,€6K
4847,A. Dona Ndoh,70,€5K
4848,M. Yattara,70,€5K
4849,R. Nelson,70,€25K
4850,M. Torrén,70,€8K
4851,S. Kerk,70,€12K
4852,B. Davies,70,€7K
4853,Iago,70,€4K
4854,Victor Fachinhas,70,€9K
4855,K. Leerdam,70,€5K
4856,Javi Ros,70,€7K
4857,C. Şahin,70,€9K
4858,M. Matos,70,€6K
4859,William,70,€13K
4860,J. Delaplace,70,€6K
4861,C. Janker,70,€12K
4862,B. Heynen,70,€7K
4863,Bismark,70,€10K
4864,Ortuño,70,€6K
4865,M. Azira,70,€5K
4866,J. Rodríguez,70,€7K
4867,F. González,70,€10K
4868,M. Falzerano,70,€4K
4869,C. Ascues,70,€5K
4870,Akapo,70,€11K
4871,M. Friedrich,70,€13K
4872,David Fernández,70,€6K
4873,R. Ziegler,70,€5K
4874,A. Ábalos,70,€2K
4875,V. Sarı,70,€8K
4876,D. Keet,70,€0.00
4877,N. Leyes,70,€7K
4878,P. Hatzidiakos,70,€6K
4879,J. Makengo,70,€12K
4880,D. Opare,70,€7K
4881,D. Schmidt,70,€7K
4882,L. Castaignos,70,€8K
4883,R. Azeez,70,€5K
4884,D. Antolić,70,€7K
4885,D. Jevtić,70,€6K
4886,Y. Kobayashi,70,€6K
4887,E. Seka,70,€4K
4888,M. Volta,70,€3K
4889,Aridane,70,€6K
4890,B. Schenkeveld,70,€7K
4891,Allan Ardaújo,70,€10K
4892,M. Bero,70,€7K
4893,C. Chantôme,70,€4K
4894,D. Hoesen,70,€5K
4895,A. Machado,70,€5K
4896,Rodolfo,70,€8K
4897,M. Targett,70,€19K
4898,R. Dwamena,70,€12K
4899,K. Laribi,70,€3K
4900,Bruno Nascimento,70,€7K
4901,J. Souttar,70,€4K
4902,L. Faravelli,70,€8K
4903,O. Okwonkwo,70,€14K
4904,D. Zuma,70,€1K
4905,J. Busk,70,€10K
4906,D. Delgado,70,€2K
4907,N. Mihajlović,70,€6K
4908,Lucas Áfrico,70,€5K
4909,D. Lévêque,70,€1K
4910,R. Himmelmann,70,€8K
4911,Y. Kashiwagi,70,€7K
4912,A. Rrahmani,70,€1K
4913,P. Sagna,70,€4K
4914,J. Archer,70,€6K
4915,M. Pedersen,70,€4K
4916,P. Helland,70,€5K
4917,Y. Moreno,70,€14K
4918,K. Hämäläinen,70,€6K
4919,S. Pocognoli,70,€8K
4920,G. Leadbitter,70,€26K
4921,H. Quiñones,70,€2K
4922,Ansel Barnisco,70,€11K
4923,I. El Adoua,70,€7K
4924,J. Angulo,70,€2K
4925,J. Berthomier,70,€6K
4926,E. Rolón,70,€5K
4927,A. Frączczak,70,€4K
4928,R. Wolski,70,€5K
4929,J. Pearce,70,€7K
4930,N. Moro,70,€1K
4931,B. Aouacheria,70,€4K
4932,J. McEachran,70,€22K
4933,P. Wszołek,70,€6K
4934,L. Baker,70,€20K
4935,Alfonso Herrero,70,€4K
4936,A. Măţel,70,€1K
4937,K. Rosenberry,70,€4K
4938,L. Thy,70,€9K
4939,Koo Ja Ryong,70,€5K
4940,D. Fry,70,€18K
4941,R. Leeuwin,70,€7K
4942,R. Fernández,70,€13K
4943,A. Timofeev,70,€1K
4944,Rodrigo Pinho,70,€7K
4945,H. Vaca,70,€0.00
4946,J. Worrall,70,€17K
4947,A. El Jadeyaoui,70,€4K
4948,M. Eriksson,70,€5K
4949,Y. Kalfa,70,€8K
4950,C. Vilches,70,€7K
4951,C. Dessers,70,€10K
4952,A. Kara,70,€10K
4953,C. Dunkley,70,€26K
4954,F. Deli,70,€2K
4955,Jefferson Santos,70,€5K
4956,Kim Seung Dae,70,€5K
4957,M. Mancienne,70,€5K
4958,C. Gardner,70,€16K
4959,M. Danielson,70,€4K
4960,A. Seculin,70,€7K
4961,O. Hüsing,70,€3K
4962,A. Totovytskyi,70,€1K
4963,Fede Vico,70,€13K
4964,R. Robayo,70,€2K
4965,M. Gori,70,€9K
4966,Miguel Torres,70,€6K
4967,Montoro,70,€5K
4968,N. Paz,70,€15K
4969,U. Uçar,70,€12K
4970,D. Blum,70,€19K
4971,M. Hefele,70,€24K
4972,C. Bieler,70,€8K
4973,S. Johnson,70,€4K
4974,K. Coulibaly,70,€15K
4975,Saúl,70,€5K
4976,I. Dia,70,€9K
4977,B. Myhill,70,€9K
4978,D. Kuciak,70,€4K
4979,Pablo Marí,70,€39K
4980,Moon Seon Min,70,€4K
4981,K. Steppe,70,€6K
4982,C. Insaurralde,70,€32K
4983,J. Domínguez,70,€3K
4984,L. Gregory,70,€10K
4985,M. Mittelstädt,70,€10K
4986,M. Romero,70,€5K
4987,D. Damjanović,70,€5K
4988,Alam Basteirinho,70,€10K
4989,Lee Seung Woo,70,€3K
4990,N. Gorosito,70,€5K
4991,M. Trávník,70,€0.00
4992,G. Gardner,70,€11K
4993,Lee Seung Gi,70,€7K
4994,C. Forsyth,70,€22K
4995,D. Lenihan,70,€18K
4996,F. Klein,70,€9K
4997,A. Weber,70,€4K
4998,F. Haugen,70,€4K
4999,T. Bruns,70,€8K
5000,C. González,70,€12K
5001,M. Coronel,70,€8K
5002,M. Schuhen,70,€3K
5003,J. Knudsen,70,€6K
5004,Q. Martinus,70,€7K
5005,G. Gianniotas,70,€1K
5006,F. De Paul,70,€5K
5007,Kangin Lee,70,€8K
5008,N. Carreño,70,€1K
5009,J. Sánchez,70,€2K
5010,Lee Jae Sung,70,€7K
5011,Kim Eun Sun,70,€5K
5012,D. Moreno,70,€2K
5013,A. Isaksson,70,€2K
5014,V. van Crooij,70,€6K
5015,M. D'Alessandro,70,€14K
5016,R. Windbichler,70,€5K
5017,C. Corvalán,70,€8K
5018,R. Raldes,70,€0.00
5019,C. Adam,70,€23K
5020,Renaldo Justinho,70,€12K
5021,Y. Wissa,70,€4K
5022,A. Saldívar,70,€9K
5023,A. Stoian,70,€3K
5024,N. Obiora,70,€5K
5025,S. Salger,70,€9K
5026,B. Meling,70,€4K
5027,Macarinho Louro,70,€8K
5028,S. Ireland,70,€7K
5029,S. De Ridder,70,€9K
5030,M. Coutadeur,70,€4K
5031,W. Grigg,70,€30K
5032,K. Barbarouses,70,€7K
5033,Ricardo Ferreira,70,€5K
5034,G. Belaud,70,€4K
5035,Clerc,70,€6K
5036,L. Mugni,70,€11K
5037,A. Faurlín,70,€5K
5038,M. Barbieri,70,€9K
5039,Javi Guerra,70,€9K
5040,R. Braña,70,€6K
5041,L. Benegas,70,€8K
5042,S. Hogan,70,€12K
5043,Pêpê,70,€5K
5044,Park Joo Ho,70,€5K
5045,R. Maiello,70,€10K
5046,B. Guillaume,70,€12K
5047,Vinicius Trieiro,70,€11K
5048,Christian Fernández,70,€6K
5049,F. Fragapane,70,€8K
5050,A. Chipciu,70,€1K
5051,E. Koulouris,70,€0.00
5052,Raphael Paneira,70,€17K
5053,C. Espinoza,70,€15K
5054,C. Borja,70,€12K
5055,M. Pouraliganji,70,€7K
5056,Jailson Oliva,70,€16K
5057,Jordi Mboula,70,€15K
5058,F. Hasani,70,€13K
5059,J. Sambia,70,€10K
5060,Jorge Sáenz,70,€4K
5061,P. Mahlambi,70,€0.00
5062,D. McGoldrick,70,€9K
5063,G. Kagelmacher,70,€8K
5064,N. Leali,70,€2K
5065,M. Pospíšil,70,€6K
5066,A. Aguerre,70,€8K
5067,M. Robak,70,€4K
5068,Javi Márquez,70,€6K
5069,C. Ramos,70,€19K
5070,T. Bunbury,70,€6K
5071,D. Cvetinović,70,€4K
5072,L. Ajorque,70,€10K
5073,R. Nissen Kristensen,70,€6K
5074,T. Hiariej,70,€2K
5075,J. Marveaux,70,€3K
5076,M. Kone,70,€9K
5077,F. Holland,70,€10K
5078,C. Suárez,70,€3K
5079,B. Safari,70,€4K
5080,M. Varnier,70,€2K
5081,B. Kadrii,70,€9K
5082,J. Paredes,70,€0.00
5083,Aitor García,70,€5K
5084,L. Spalvis,70,€4K
5085,M. Stoppelkamp,70,€5K
5086,T. Itō,70,€6K
5087,Nenê,70,€5K
5088,C. Strohdiek,70,€7K
5089,J. Brabec,70,€8K
5090,S. Çikalleshi,70,€15K
5091,L. García,70,€9K
5092,M. Wasilewski,70,€3K
5093,S. Griesbeck,70,€7K
5094,J. Benítez,70,€3K
5095,Diogildo Peixe,70,€10K
5096,N. Ibáñez,70,€5K
5097,I. Uche,70,€6K
5098,D. Dessena,70,€17K
5099,R. Ovelar,70,€3K
5100,V. Mannone,70,€14K
5101,J. Gillet,70,€4K
5102,L. Venuti,70,€21K
5103,J. Meneses,70,€17K
5104,G. Maniatis,70,€8K
5105,A. Mabil,70,€12K
5106,M. Olivera,70,€24K
5107,J. Madueña,70,€13K
5108,R. Kurzawa,70,€10K
5109,F. Pellegrino,70,€6K
5110,N. Ampomah,70,€6K
5111,C. Fuentes,70,€6K
5112,O. Burke,70,€14K
5113,Sandro Manoel,70,€12K
5114,K. Dowell,70,€31K
5115,N. Leguizamón,70,€8K
5116,G. Espinoza,70,€8K
5117,A. Balić,70,€11K
5118,M. Dos Santos,70,€15K
5119,Breno Bemposta,70,€11K
5120,B. Capon,70,€9K
5121,C. Hudson-Odoi,70,€25K
5122,Ruiz de Galarreta,70,€6K
5123,V. Osimhen,70,€12K
5124,Mauro Júnior,70,€4K
5125,M. Casierra,70,€1K
5126,L. Cáceda,70,€0.00
5127,B. Nieuwkoop,70,€6K
5128,M. Cash,70,€19K
5129,P. Huntington,70,€8K
5130,A. Paločević,70,€6K
5131,L. Sequeira,70,€8K
5132,A. Bouka Moutou,70,€8K
5133,I. Saadi,70,€12K
5134,J. Shackell,70,€10K
5135,D. Wheater,70,€6K
5136,L. Tomlin,70,€25K
5137,N. Viola,70,€4K
5138,O. Shevchenko,70,€1K
5139,Marlinito Dias,70,€14K
5140,Marc Cardona,70,€57K
5141,J. Rivierez,70,€5K
5142,A. Crescenzi,70,€3K
5143,José Arnáiz,70,€13K
5144,L. Giannetti,70,€7K
5145,R. Boffin,70,€8K
5146,R. Ramírez,70,€3K
5147,D. von Ballmoos,70,€8K
5148,T. Carson,70,€4K
5149,T. Tawatha,70,€16K
5150,J. Martins Pereira,70,€5K
5151,P. Gallagher,70,€9K
5152,M. Morrison,70,€14K
5153,C. Fierro,70,€12K
5154,Bruno Moreira,70,€6K
5155,F. Ayité,70,€31K
5156,F. Zuculini,70,€8K
5157,J. Morrow,70,€5K
5158,Vítor Gonçalves,70,€7K
5159,Wei Shihao,70,€9K
5160,J. Cuffaut,70,€4K
5161,Y. Touzghar,70,€6K
5162,L. Evans,70,€7K
5163,Luan Sendeiro,70,€13K
5164,Iriome,70,€6K
5165,J. Cortés,70,€12K
5166,E. Bologna,70,€6K
5167,A. Batalla,70,€8K
5168,M. Formica,70,€11K
5169,J. Robinson,70,€20K
5170,Matheus Cunha,70,€14K
5171,M. George,70,€12K
5172,Nino,70,€4K
5173,X. Kouassi,70,€16K
5174,G. Kerk,70,€10K
5175,J. Bacuna,70,€18K
5176,Y. Boli,70,€7K
5177,Lasure,70,€5K
5178,J. Van Rankin,70,€10K
5179,S. Luperto,70,€19K
5180,Pita,70,€5K
5181,Dani Jiménez,70,€5K
5182,J. Williams,70,€23K
5183,Philipe Sampaio,70,€6K
5184,D. Sow,70,€9K
5185,Sevinho Santos,70,€17K
5186,M. Pajač,70,€16K
5187,J. Domínguez,70,€13K
5188,J. Wurtz,70,€12K
5189,Derley,70,€8K
5190,C. Coosemans,70,€8K
5191,Gabriel Xavier,70,€5K
5192,H. Moukoudi,70,€3K
5193,N. Dyer,70,€16K
5194,H. Menosse,70,€8K
5195,César Arzo,70,€5K
5196,M. Manotas,70,€5K
5197,Waguininho,70,€6K
5198,A. Jędrzejczyk,70,€6K
5199,C. Diandy,70,€8K
5200,J. Toledo,70,€8K
5201,W. Zahibo,70,€4K
5202,J. Dudziak,70,€8K
5203,P. Franco,70,€22K
5204,R. Jenssen,70,€4K
5205,Dodô,70,€2K
5206,M. Donald,70,€9K
5207,A. Sissoko,70,€10K
5208,Renato Chaves,70,€13K
5209,M. Odubajo,70,€18K
5210,W. Vaulks,70,€15K
5211,Y. Al Shehri,70,€21K
5212,D. Cerén,70,€5K
5213,E. Arango,70,€1K
5214,C. Mandanne,70,€5K
5215,C. Traoré,70,€10K
5216,F. Acuña,70,€5K
5217,D. Aleksić,70,€9K
5218,L. Boyce,70,€7K
5219,J. Scowen,70,€6K
5220,J. Murillo,70,€3K
5221,J. San Román,70,€7K
5222,S. Štilić,70,€5K
5223,M. Yıldırım,70,€6K
5224,Gus Ledes,70,€5K
5225,R. Alioui,70,€12K
5226,V. Huerta,70,€3K
5227,S. Kaya,70,€1K
5228,S. Delev,70,€5K
5229,K. Ehizibue,70,€5K
5230,D. Larsson,70,€10K
5231,B. Urribarri,70,€8K
5232,D. Williams,70,€20K
5233,J. García,70,€8K
5234,L. Cattermole,70,€8K
5235,P. Álvarez,70,€9K
5236,A. Putsila,70,€12K
5237,K. Kanatsızkuş,70,€8K
5238,Momo,70,€5K
5239,E. Godoy,70,€6K
5240,C. Bovo,70,€2K
5241,J. Meredith,70,€8K
5242,B. Henning,70,€6K
5243,O. Petrák,70,€12K
5244,B. Röcker,70,€14K
5245,R. Cardozo,70,€0.00
5246,M. Duelund,70,€1K
5247,M. Seuntjens,70,€9K
5248,Nilson Padilho,70,€10K
5249,G. Gómez,70,€1K
5250,Dai Lin,70,€10K
5251,M. Budimir,70,€1K
5252,Javi Lara,70,€6K
5253,Alef,70,€1K
5254,J. Palacios,70,€3K
5255,C. Henao,70,€3K
5256,C. Yambéré,70,€8K
5257,O. Dramé,70,€5K
5258,S. Michel,70,€8K
5259,S. Özcan,70,€9K
5260,M. Correia,70,€7K
5261,J. Harrison,70,€37K
5262,F. Diabaté,70,€27K
5263,E. Torres,70,€12K
5264,R. Improta,70,€3K
5265,N. Hauptmann,70,€10K
5266,A. Bouhaddouz,70,€10K
5267,S. Ubilla,70,€8K
5268,Francisco Ramos,70,€5K
5269,J. Roa,70,€3K
5270,K. N'Doram,70,€24K
5271,J. Torunarigha,70,€10K
5272,C. Deac,70,€0.00
5273,Marc Gual,70,€9K
5274,B. Samudio,70,€8K
5275,S. Bassong,70,€7K
5276,S. Manolev,70,€0.00
5277,A. Letellier,70,€9K
5278,I. Ezekiel,70,€8K
5279,C. Oliveira Souza,70,€5K
5280,J. Palmieri,70,€4K
5281,M. Larrondo,70,€14K
5282,J. Colback,70,€23K
5283,T. Kister,70,€4K
5284,N. Omladič,70,€7K
5285,P. Cuadra,70,€11K
5286,I. Plastun,70,€11K
5287,W. Dutoit,70,€7K
5288,M. Matvienko,70,€1K
5289,A. Chatzigiovanis,70,€1K
5290,M. Ardemagni,70,€3K
5291,A. Pearce,70,€22K
5292,E. Imorou,70,€12K
5293,M. Franke,70,€14K
5294,F. Falco,70,€3K
5295,L. Villalba,70,€9K
5296,Tiago Lopes,70,€8K
5297,Diogo Viana,70,€4K
5298,M. El Kabir,70,€14K
5299,O. Nguette,70,€5K
5300,A. Engin,70,€4K
5301,J. Ortiz,70,€9K
5302,S. Khelifi,70,€8K
5303,J. Reine-Adélaïde,70,€11K
5304,K. Kronholm,70,€6K
5305,N. Ninković,70,€3K
5306,M. Gakpa,70,€4K
5307,Eber Bessa,70,€4K
5308,C. Valencia,70,€3K
5309,B. Mokulu,70,€3K
5310,D. Johnson,70,€8K
5311,D. Marney,70,€6K
5312,M. Kieftenbeld,70,€15K
5313,P. Heise,70,€10K
5314,A. Rudko,70,€1K
5315,L. Mchedlidze,70,€9K
5316,H. Al Moqahwi,70,€20K
5317,S. Fletcher,70,€17K
5318,K. Danso,70,€5K
5319,C. Tiffert,70,€3K
5320,T. Asano,70,€39K
5321,G. Torres,70,€4K
5322,S. Napoleoni,70,€14K
5323,A. Konradsen,70,€5K
5324,K. Günter,70,€8K
5325,S. Medojević,70,€10K
5326,Anuar,70,€9K
5327,Sastre,70,€13K
5328,G. Pinzi,70,€2K
5329,Jona,70,€7K
5330,Daniel Amora,70,€11K
5331,P. Toranzo,70,€7K
5332,Carlinhos,70,€8K
5333,E. Hestad,70,€5K
5334,Fernando,70,€1K
5335,S. Adamyan,70,€7K
5336,Fede,70,€7K
5337,Nathan Otávio,70,€6K
5338,M. Wittek,70,€5K
5339,Rafa Navarro,70,€10K
5340,N. Taylor,70,€11K
5341,M. Schäffler,70,€6K
5342,E. Ávila,70,€11K
5343,A. Mazzotta,70,€3K
5344,P. Frankowski,70,€5K
5345,P. Budkivskyi,70,€5K
5346,J. Flum,70,€10K
5347,Y. Ngbakoto,70,€13K
5348,R. Bonevacia,70,€6K
5349,K. Shibasaki,70,€7K
5350,D. Lainez,70,€14K
5351,M. Navarrete,70,€2K
5352,F. Valiani,70,€2K
5353,J. Maghoma,70,€16K
5354,Alex López,70,€4K
5355,Hernán,70,€6K
5356,A. Werner,70,€15K
5357,B. Bjarnason,70,€11K
5358,Pichu Atienza,70,€6K
5359,F. Campos,70,€4K
5360,Christian Rivera,70,€4K
5361,Johannesson,70,€5K
5362,C. Acevedo,70,€7K
5363,A. Budimir,70,€3K
5364,J. Troisi,70,€6K
5365,A. Tuia,70,€3K
5366,V. Pálsson,70,€8K
5367,M. Tahrat,70,€6K
5368,E. Korkmaz,70,€6K
5369,Jeong Jae Yong,70,€5K
5370,L. Mousset,70,€29K
5371,C. Michelin,70,€10K
5372,F. Ojo,70,€7K
5373,Jeong Woon,70,€4K
5374,M. Bodmer,70,€8K
5375,K. Smith,70,€23K
5376,A. Wisdom,70,€20K
5377,S. Doi,70,€8K
5378,Thiago Carleto,70,€19K
5379,D. Stracqualursi,70,€8K
5380,C. Maxwell,70,€7K
5381,Alberto Martín,70,€6K
5382,S. Birnbaum,70,€5K
5383,J. Dilrosun,70,€11K
5384,A. Kali,70,€5K
5385,D. Fox,70,€24K
5386,L. Castro,70,€3K
5387,I. Nedelcearu,70,€0.00
5388,A. Orión,70,€2K
5389,D. Milošević,70,€9K
5390,J. Minala,70,€17K
5391,S. Çinaz,70,€8K
5392,A. Turan,70,€8K
5393,S. Dursun,70,€9K
5394,C. Leemans,70,€6K
5395,Kwon Soon Hyung,70,€4K
5396,Errasti,70,€6K
5397,M. Camporese,70,€2K
5398,M. Al Buraik,70,€17K
5399,J. de Wijs,70,€12K
5400,Murilo Freitas,70,€6K
5401,W. Rémy,70,€6K
5402,C. Valenzuela,70,€3K
5403,F. Pizzini,70,€10K
5404,A. Ignjovski,70,€8K
5405,M. El-Munir,70,€5K
5406,R. Del Castillo,70,€14K
5407,M. Diaby,70,€19K
5408,G. Garza,70,€5K
5409,L. Jans,70,€4K
5410,Aguza,70,€5K
5411,R. Fernández,70,€4K
5412,N. Wells,70,€30K
5413,D. Croce,70,€2K
5414,E. Loeschbor,70,€13K
5415,P. Schuurs,70,€4K
5416,B. Kololli,70,€9K
5417,K. Sigþórsson,70,€16K
5418,M. Koné,70,€17K
5419,R. Fiamozzi,70,€3K
5420,L. Pico,70,€2K
5421,E. Bello,70,€3K
5422,Salvador Agra,70,€7K
5423,P. McNair,70,€22K
5424,D. Rodríguez,70,€1K
5425,M. Stiepermann,70,€16K
5426,J. Fulton,70,€12K
5427,L. Abram,70,€7K
5428,Z. Gano,70,€9K
5429,L. Mazzoni,70,€2K
5430,Y. M'Changama,70,€4K
5431,T. Mings,70,€27K
5432,K. Árnason,70,€0.00
5433,U. Bozok,70,€9K
5434,Borja Fernández,70,€7K
5435,H. Bazile,70,€5K
5436,G. Carey,70,€8K
5437,P. Souaré,70,€25K
5438,Verdasca,70,€4K
5439,J. Vigón,70,€12K
5440,Edsinho Torres,70,€9K
5441,S. Kaneko,70,€3K
5442,D. Batubinsika,70,€6K
5443,F. Giefer,70,€10K
5444,H. Wahl,70,€6K
5445,M. Albæk,70,€4K
5446,Juan Dominguez,70,€6K
5447,C. Avevor,70,€10K
5448,David Costas,70,€10K
5449,M. Faraoni,70,€3K
5450,L. Mendoza,70,€14K
5451,S. Romagnoli,70,€8K
5452,A. Ngando,70,€12K
5453,B. Vidal,70,€6K
5454,C. Buonaiuto,70,€3K
5455,L. Jutkiewicz,70,€18K
5456,Li Xuepeng,70,€10K
5457,Fábio Sturgeon,70,€6K
5458,K. Mahachi,70,€1K
5459,D. Barbona,70,€6K
5460,M. Silva,70,€5K
5461,G. Voboril,70,€6K
5462,Kim Jong Woo,70,€5K
5463,M. Terrazzino,70,€13K
5464,A. Ferrari,70,€13K
5465,Rafa Mir,70,€27K
5466,P. Iemmello,70,€4K
5467,M. Cerato,70,€17K
5468,Aleix García,70,€37K
5469,O. Linnér,70,€3K
5470,Platiny,70,€7K
5471,D. Petrić,70,€9K
5472,A. Meijers,70,€5K
5473,Jeong Seung Hyun,70,€6K
5474,Flávio Rebeilo,70,€9K
5475,E. Tercero,70,€21K
5476,Kalindi,70,€5K
5477,L. Kübler,70,€12K
5478,M. Caballero,70,€3K
5479,A. Rocha,70,€6K
5480,M. Ingvartsen,70,€9K
5481,N. Moiraghi,70,€8K
5482,C. Wondolowski,70,€4K
5483,M. Petržela,70,€1K
5484,A. Cissokho,70,€9K
5485,P. Bauer,70,€7K
5486,J. López,70,€3K
5487,C. Quintero,70,€1K
5488,R. Wallace,70,€6K
5489,P. Alvarado,70,€2K
5490,A. Micai,70,€2K
5491,H. Veerman,70,€11K
5492,A. Salvi,70,€3K
5493,B. Khuzwayo,70,€1K
5494,R. Loaiza,70,€3K
5495,Hugo Vieira,70,€5K
5496,P. Türpitz,70,€10K
5497,N. Đurđić,70,€5K
5498,K. Overmeire,70,€8K
5499,H. Campagnaro,70,€2K
5500,F. Mancinelli,70,€6K
5501,F. Ondoa,70,€6K
5502,G. Ward,70,€6K
5503,Campillo,70,€6K
